"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","733","no search matches shows the empty state (mocked)","chromium","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1296","edit mode pre-fills the form and locks the MID","webkit","2026-09-04","passed","2026-09-04","Add/Edit movie","moviecatalog/movie.test.ts","",""
"","1756","dismissing the popup is non-destructive","webkit","2026-09-04","passed","2026-09-04","Global error popup","moviecatalog/err.test.ts","",""
"","327","submit stays disabled until the whole form is valid","chromium","2026-09-04","passed","2026-09-04","Add/Edit movie","moviecatalog/movie.test.ts","",""
"","1408","all required-field errors surface together on empty submit","webkit","2026-09-04","passed","2026-09-04","Add/Edit movie","moviecatalog/movie.test.ts","",""
"","1333","the UI stays usable while a request is artificially slow","chromium","2026-09-04","passed","2026-09-04","Network mocking depth","moviecatalog/net.test.ts","",""
"","2438","valid login navigates to the movie list","firefox","2026-09-04","passed","2026-09-04","Authentication & session","moviecatalog/auth.test.ts","",""
"","1078","genre link ""Fantasy"" filters and self-marks active","firefox","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1379","genre link ""Mystery"" filters and self-marks active","webkit","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","930","genre link ""Horror"" filters and self-marks active","firefox","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","581","studio ID resolves to studio name","chromium","2026-09-04","passed","2026-09-04","Movie detail","moviecatalog/detail.test.ts","",""
"","1175","submit stays disabled until the whole form is valid","webkit","2026-09-04","passed","2026-09-04","Add/Edit movie","moviecatalog/movie.test.ts","",""
"","1702","delete confirmation flow and auto-dismissing toast","webkit","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1247","all required-field errors surface together on empty submit","firefox","2026-09-04","passed","2026-09-04","Add/Edit movie","moviecatalog/movie.test.ts","",""
"","1303","duplicate MID (409) clears the field and flags it (mocked)","webkit","2026-09-04","passed","2026-09-04","Add/Edit movie","moviecatalog/movie.test.ts","",""
"","1270","genre link ""Horror"" filters and self-marks active","webkit","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","2081","no native dialogs anywhere in the delete flow","webkit","2026-09-04","passed","2026-09-04","Cross-cutting / non-functional","moviecatalog/nfr.test.ts","",""
"","1206","no native dialogs anywhere in the delete flow","chromium","2026-09-04","passed","2026-09-04","Cross-cutting / non-functional","moviecatalog/nfr.test.ts","",""
"","562","genre link ""Sci-Fi"" filters and self-marks active","chromium","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1004","network failure on the initial list load falls through to the component’s own error","webkit","2026-09-04","passed","2026-09-04","Network mocking depth","moviecatalog/net.test.ts","",""
"","1080","submit stays disabled until the whole form is valid","firefox","2026-09-04","passed","2026-09-04","Add/Edit movie","moviecatalog/movie.test.ts","",""
"","1311","rating + price filters combine and reset to page 0","firefox","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1821","add-movie form is accessible at the element level","webkit","2026-09-04","passed","2026-09-04","Accessibility","moviecatalog/a11y.test.ts","",""
"","548","unauthenticated access to a protected route redirects to /login","chromium","2026-09-04","passed","2026-09-04","Authentication & session","moviecatalog/auth.test.ts","",""
"","871","invalid credentials show an inline error","firefox","2026-09-04","passed","2026-09-04","Authentication & session","moviecatalog/auth.test.ts","",""
"","1471","no search matches shows the empty state (mocked)","webkit","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","482","genre link ""Action"" filters and self-marks active","chromium","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","396","movie list loads within budget","chromium","2026-09-04","passed","2026-09-04","Performance budgets","moviecatalog/perf.test.ts","",""
"","1163","nonexistent MID shows a not-found message (mocked)","webkit","2026-09-04","passed","2026-09-04","Movie detail","moviecatalog/detail.test.ts","",""
